"trial.c"	"condition.mode"	"condition.difficulty"	"condition.stability"	"total.mean"	"total.median"	"peek.mean"	"outcome.mean"	"outcome.median"	"optionswitch.mean"	"modeswitch.mean"
"199"	25	"peek"	"hard"	"dynamic"	-0.736842105263158	25.5	0.842105263157895	-8.21052631578947	-18	0.342105263157895	0.263157894736842
"200"	25	"peek"	"hard"	"stable"	1.73170731707317	13	0.707317073170732	-13.8048780487805	-18	0.268292682926829	0.317073170731707
"201"	26	"keep"	"easy"	"dynamic"	-20.2558139534884	-10	1	7.7906976744186	20	0.325581395348837	0
"202"	26	"keep"	"easy"	"stable"	-7.40476190476191	-3	1	6.04761904761905	-3	0.428571428571429	0
"203"	26	"keep"	"hard"	"dynamic"	-55.0740740740741	-50	1	-4.48148148148148	3	0.740740740740741	0
"204"	26	"keep"	"hard"	"stable"	-44.5789473684211	-44.5	1	-0.894736842105263	25	0.710526315789474	0
"205"	26	"peek"	"easy"	"dynamic"	-3.32432432432432	4	0.702702702702703	8.40540540540541	20	0.378378378378378	0.324324324324324
"206"	26	"peek"	"easy"	"stable"	-16.9210526315789	-16.5	0.684210526315789	4.76315789473684	-3	0.368421052631579	0.263157894736842
"207"	26	"peek"	"hard"	"dynamic"	-0.894736842105263	14	0.684210526315789	-3.34210526315789	3	0.815789473684211	0.315789473684211
"208"	26	"peek"	"hard"	"stable"	-4.48780487804878	12	0.658536585365854	-5.02439024390244	3	0.658536585365854	0.341463414634146
"209"	27	"keep"	"easy"	"dynamic"	-6.88372093023256	-6	1	13.3720930232558	21	0.465116279069767	0
"210"	27	"keep"	"easy"	"stable"	2.35714285714286	5	1	9.76190476190476	21	0.452380952380952	0
"211"	27	"keep"	"hard"	"dynamic"	-23.8620689655172	-16	1	33.9310344827586	44	0.620689655172414	0
"212"	27	"keep"	"hard"	"stable"	-5.34210526315789	4.5	1	39.2368421052632	44	0.5	0
"213"	27	"peek"	"easy"	"dynamic"	3.10810810810811	0	0.756756756756757	8.13513513513514	4	0.432432432432432	0.27027027027027
"214"	27	"peek"	"easy"	"stable"	-8.31578947368421	-8.5	0.684210526315789	13.0789473684211	21	0.447368421052632	0.421052631578947
"215"	27	"peek"	"hard"	"dynamic"	21.8157894736842	54	0.710526315789474	34.6578947368421	44	0.473684210526316	0.236842105263158
